id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993500,-1.014778,0.130000,-0.295552,0.750000,0.050000
1,0,-8.993500,1.014778,0.130000,0.295552,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981150,-1.028072,0.247000,-0.265890,0.750000,0.100000
1,0,-8.981150,1.028072,0.247000,0.265890,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963535,-1.040027,0.352300,-0.239098,0.750000,0.150000
1,0,-8.963535,1.040027,0.352300,0.239098,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352300,0.000000,0.750000,0.150000
0,0,-8.941182,-1.050772,0.447069,-0.214899,0.750000,0.200000
1,0,-8.941182,1.050772,0.447069,0.214899,0.750000,0.200000
2,1,-0.058818,0.000000,-0.447070,0.000000,0.750000,0.200000
0,0,-8.914584,-1.060466,0.531949,-0.193884,0.750000,0.250000
1,0,-8.914584,1.060466,0.531949,0.193884,0.750000,0.250000
2,1,-0.085395,0.000000,-0.531536,0.000000,0.750000,0.250000
0,0,-8.884193,-1.069238,0.607827,-0.175444,0.750000,0.300000
1,0,-8.884193,1.069238,0.607827,0.175444,0.750000,0.300000
2,1,-0.115722,0.000000,-0.606531,0.000000,0.750000,0.300000
0,0,-8.850420,-1.077209,0.675452,-0.159413,0.750000,0.350000
1,0,-8.850420,1.077209,0.675452,0.159413,0.750000,0.350000
2,1,-0.149357,0.000000,-0.672694,0.000000,0.750000,0.350000
0,0,-8.813644,-1.084490,0.735527,-0.145611,0.750000,0.400000
1,0,-8.813644,1.084490,0.735527,0.145611,0.750000,0.400000
2,1,-0.185890,0.000000,-0.730667,0.000000,0.750000,0.400000
0,0,-8.774208,-1.091182,0.788719,-0.133858,0.750000,0.450000
1,0,-8.774208,1.091182,0.788719,0.133858,0.750000,0.450000
2,1,-0.224945,0.000000,-0.781093,0.000000,0.750000,0.450000
0,0,-8.732425,-1.097382,0.835651,-0.123986,0.750000,0.500000
1,0,-8.732425,1.097382,0.835651,0.123986,0.750000,0.500000
2,1,-0.266174,0.000000,-0.824595,0.000000,0.750000,0.500000
0,0,-8.688580,-1.103174,0.876905,-0.115841,0.750000,0.550000
1,0,-8.688580,1.103174,0.876905,0.115841,0.750000,0.550000
2,1,-0.309263,0.000000,-0.861777,0.000000,0.750000,0.550000
0,0,-8.642929,-1.108638,0.913018,-0.109280,0.750000,0.600000
1,0,-8.642929,1.108638,0.913018,0.109280,0.750000,0.600000
2,1,-0.353924,0.000000,-0.893211,0.000000,0.750000,0.600000
0,0,-8.595705,-1.113847,0.944487,-0.104176,0.750000,0.650000
1,0,-8.595705,1.113847,0.944487,0.104176,0.750000,0.650000
2,1,-0.399896,0.000000,-0.919436,0.000000,0.750000,0.650000
0,0,-8.547117,-1.118867,0.971767,-0.100415,0.750000,0.700000
1,0,-8.547117,1.118867,0.971767,0.100415,0.750000,0.700000
2,1,-0.446943,0.000000,-0.940956,0.000000,0.750000,0.700000
