id,gid,x,y,v_x,v_y,radius,time
0,0,7.993437,0.000002,-0.131269,0.000042,0.500000,0.050000
1,1,5.652748,5.652748,-0.082035,-0.082036,0.500000,0.050000
2,2,0.000002,7.993178,0.000038,-0.136443,0.500000,0.050000
3,3,-5.652172,5.652173,0.093563,-0.093541,0.500000,0.050000
4,4,-7.994094,0.000001,0.118123,0.000028,0.500000,0.050000
5,5,-5.652080,-5.652093,0.095396,0.095333,0.500000,0.050000
6,6,0.000000,-7.993084,0.000000,0.138326,0.500000,0.050000
7,7,5.652674,-5.652660,-0.083721,0.083796,0.500000,0.050000
0,0,7.980966,0.000006,-0.249411,0.000081,0.500000,0.100000
1,1,5.644955,5.644955,-0.155867,-0.155869,0.500000,0.100000
2,2,0.000005,7.980216,0.000072,-0.259242,0.500000,0.100000
3,3,-5.643283,5.643287,0.177769,-0.177727,0.500000,0.100000
4,4,-7.982872,0.000003,0.224434,0.000053,0.500000,0.100000
5,5,-5.643018,-5.643037,0.181253,0.181133,0.500000,0.100000
6,6,0.000000,-7.979943,0.000000,0.262819,0.500000,0.100000
7,7,5.644720,-5.644700,-0.159070,0.159211,0.500000,0.100000
0,0,7.963179,0.000012,-0.355739,0.000115,0.500000,0.150000
1,1,5.633839,5.633839,-0.222315,-0.222318,0.500000,0.150000
2,2,0.000010,7.961728,0.000103,-0.369760,0.500000,0.150000
3,3,-5.630606,5.630612,0.253555,-0.253495,0.500000,0.150000
4,4,-7.966867,0.000007,0.320113,0.000076,0.500000,0.150000
5,5,-5.630091,-5.630119,0.258524,0.258353,0.500000,0.150000
6,6,0.000000,-7.961200,0.000000,0.374863,0.500000,0.150000
7,7,5.633376,-5.633345,-0.226884,0.227086,0.500000,0.150000
0,0,7.940607,0.000019,-0.451438,0.000146,0.500000,0.200000
1,1,5.619733,5.619733,-0.282116,-0.282119,0.500000,0.200000
2,2,0.000017,7.938266,0.000138,-0.469226,0.500000,0.200000
3,3,-5.614518,5.614528,0.321758,-0.321686,0.500000,0.200000
4,4,-7.946556,0.000012,0.406213,0.000095,0.500000,0.200000
5,5,-5.613688,-5.613726,0.328066,0.327852,0.500000,0.200000
6,6,0.000001,-7.937415,0.000009,0.475701,0.500000,0.200000
7,7,5.618981,-5.618937,-0.287915,0.288168,0.500000,0.200000
0,0,7.913728,0.000028,-0.537588,0.000175,0.500000,0.250000
1,1,5.602937,5.602937,-0.335924,-0.335919,0.500000,0.250000
2,2,0.000027,7.910330,0.000202,-0.558738,0.500000,0.250000
3,3,-5.595361,5.595375,0.383132,-0.383057,0.500000,0.250000
4,4,-7.922374,0.000017,0.483642,0.000105,0.500000,0.250000
5,5,-5.594155,-5.594206,0.390658,0.390409,0.500000,0.250000
6,6,0.000003,-7.909092,0.000052,0.566446,0.500000,0.250000
7,7,5.601839,-5.601781,-0.342835,0.343122,0.500000,0.250000
0,0,7.882969,0.000038,-0.615176,0.000200,0.500000,0.300000
1,1,5.583721,5.583723,-0.384316,-0.384286,0.500000,0.300000
2,2,0.000044,7.878365,0.000330,-0.639285,0.500000,0.300000
3,3,-5.573443,5.573460,0.438354,-0.438285,0.500000,0.300000
4,4,-7.894715,0.000022,0.553169,0.000096,0.500000,0.300000
5,5,-5.571804,-5.571870,0.447016,0.446728,0.500000,0.300000
6,6,0.000012,-7.876687,0.000168,0.648099,0.500000,0.300000
7,7,5.582227,-5.582154,-0.392245,0.392528,0.500000,0.300000
0,0,7.848714,0.000049,-0.685101,0.000219,0.500000,0.350000
1,1,5.562331,5.562336,-0.427806,-0.427723,0.500000,0.350000
2,2,0.000072,7.842778,0.000561,-0.711754,0.500000,0.350000
3,3,-5.549042,5.549061,0.488037,-0.487981,0.500000,0.350000
4,4,-7.863943,0.000025,0.615448,0.000054,0.500000,0.350000
5,5,-5.546914,-5.546997,0.497811,0.497444,0.500000,0.350000
6,6,0.000031,-7.840609,0.000395,0.721557,0.500000,0.350000
7,7,5.560392,-5.560309,-0.436682,0.436904,0.500000,0.350000
0,0,7.811305,0.000060,-0.748177,0.000225,0.500000,0.400000
1,1,5.538989,5.539003,-0.466850,-0.466676,0.500000,0.400000
2,2,0.000118,7.803930,0.000929,-0.776944,0.500000,0.400000
3,3,-5.522405,5.522427,0.532739,-0.532691,0.500000,0.400000
4,4,-7.830393,0.000022,0.671008,-0.000048,0.500000,0.400000
