id,gid,x,y,v_x,v_y,radius,time
0,0,7.993437,0.000002,-0.131269,0.000042,0.500000,0.050000
1,1,5.652748,5.652748,-0.082035,-0.082036,0.500000,0.050000
2,2,0.000002,7.993178,0.000038,-0.136443,0.500000,0.050000
3,3,-5.652172,5.652173,0.093562,-0.093540,0.500000,0.050000
4,4,-7.994094,0.000001,0.118123,0.000028,0.500000,0.050000
5,5,-5.652080,-5.652093,0.095396,0.095333,0.500000,0.050000
6,6,0.000000,-7.993084,0.000000,0.138326,0.500000,0.050000
7,7,5.652674,-5.652660,-0.083721,0.083795,0.500000,0.050000
0,0,7.980966,0.000006,-0.249403,0.000081,0.500000,0.100000
1,1,5.644955,5.644955,-0.155859,-0.155862,0.500000,0.100000
2,2,0.000005,7.980216,0.000073,-0.259232,0.500000,0.100000
3,3,-5.643284,5.643287,0.177761,-0.177721,0.500000,0.100000
4,4,-7.982873,0.000003,0.224423,0.000053,0.500000,0.100000
5,5,-5.643018,-5.643037,0.181244,0.181127,0.500000,0.100000
6,6,0.000000,-7.979943,0.000002,0.262810,0.500000,0.100000
7,7,5.644721,-5.644700,-0.159062,0.159204,0.500000,0.100000
0,0,7.963182,0.000012,-0.355696,0.000117,0.500000,0.150000
1,1,5.633842,5.633842,-0.222266,-0.222272,0.500000,0.150000
2,2,0.000011,7.961731,0.000114,-0.369710,0.500000,0.150000
3,3,-5.630609,5.630614,0.253506,-0.253463,0.500000,0.150000
4,4,-7.966870,0.000007,0.320046,0.000077,0.500000,0.150000
5,5,-5.630094,-5.630121,0.258473,0.258321,0.500000,0.150000
6,6,0.000001,-7.961203,0.000013,0.374810,0.500000,0.150000
7,7,5.633379,-5.633348,-0.226833,0.227039,0.500000,0.150000
0,0,7.940616,0.000020,-0.451309,0.000152,0.500000,0.200000
1,1,5.619744,5.619743,-0.281951,-0.281961,0.500000,0.200000
2,2,0.000019,7.938277,0.000170,-0.469074,0.500000,0.200000
3,3,-5.614528,5.614535,0.321606,-0.321584,0.500000,0.200000
4,4,-7.946571,0.000012,0.405994,0.000098,0.500000,0.200000
5,5,-5.613699,-5.613733,0.327906,0.327753,0.500000,0.200000
6,6,0.000003,-7.937426,0.000043,0.475539,0.500000,0.200000
7,7,5.618992,-5.618948,-0.287744,0.288009,0.500000,0.200000
0,0,7.913752,0.000029,-0.537289,0.000188,0.500000,0.250000
1,1,5.602968,5.602966,-0.335532,-0.335546,0.500000,0.250000
2,2,0.000032,7.910357,0.000250,-0.558408,0.500000,0.250000
3,3,-5.595389,5.595393,0.382790,-0.382822,0.500000,0.250000
4,4,-7.922413,0.000018,0.483159,0.000117,0.500000,0.250000
5,5,-5.594185,-5.594224,0.390286,0.390176,0.500000,0.250000
6,6,0.000008,-7.909121,0.000100,0.566094,0.500000,0.250000
7,7,5.601871,-5.601810,-0.342426,0.342745,0.500000,0.250000
0,0,7.883022,0.000040,-0.614590,0.000226,0.500000,0.300000
1,1,5.583790,5.583787,-0.383564,-0.383578,0.500000,0.300000
2,2,0.000050,7.878422,0.000360,-0.638697,0.500000,0.300000
3,3,-5.573503,5.573501,0.437719,-0.437842,0.500000,0.300000
4,4,-7.894796,0.000025,0.552342,0.000134,0.500000,0.300000
5,5,-5.571870,-5.571911,0.446289,0.446270,0.500000,0.300000
6,6,0.000017,-7.876748,0.000191,0.647471,0.500000,0.300000
7,7,5.582298,-5.582220,-0.391447,0.391811,0.500000,0.300000
0,0,7.848818,0.000054,-0.684076,0.000266,0.500000,0.350000
1,1,5.562462,5.562459,-0.426551,-0.426558,0.500000,0.350000
2,2,0.000075,7.842880,0.000503,-0.710834,0.500000,0.350000
3,3,-5.549153,5.549139,0.486994,-0.487244,0.500000,0.350000
4,4,-7.864082,0.000032,0.614270,0.000146,0.500000,0.350000
5,5,-5.547044,-5.547078,0.496531,0.496651,0.500000,0.350000
6,6,0.000033,-7.840719,0.000316,0.720574,0.500000,0.350000
7,7,5.560532,-5.560434,-0.435322,0.435719,0.500000,0.350000
0,0,7.811492,0.000069,-0.746532,0.000310,0.500000,0.400000
1,1,5.539214,5.539212,-0.464952,-0.464943,0.500000,0.400000
2,2,0.000109,7.804099,0.000679,-0.775631,0.500000,0.400000
3,3,-5.522595,5.522560,0.531165,-0.531576,0.500000,0.400000
4,4,-7.830602,0.000040,0.669605,0.000154,0.500000,0.400000
