id,gid,x,y,v_x,v_y,radius,time
0,0,10.160820,0.363565,-0.105595,0.169214,0.200000,0.050000
1,0,12.528686,0.592824,-0.394287,0.025943,0.200000,0.050000
2,0,7.345583,-0.113570,0.470853,0.168217,0.200000,0.050000
3,0,6.798587,-0.864659,-0.119058,-0.485618,0.200000,0.050000
4,0,8.837669,0.722295,0.052380,0.445668,0.200000,0.050000
5,0,5.244524,0.520830,0.417285,-0.275451,0.200000,0.050000
6,0,13.696453,-1.068011,0.019052,-0.363623,0.200000,0.050000
7,0,10.861953,-0.174692,0.039053,-0.096946,0.200000,0.050000
8,0,13.294004,-0.530465,-0.377913,0.139520,0.200000,0.050000
9,0,8.030838,-0.232390,0.025756,-0.235320,0.200000,0.050000
10,0,6.880578,0.237607,0.345557,0.361373,0.200000,0.050000
11,0,14.761744,-0.690903,0.016876,0.006907,0.200000,0.050000
12,0,13.398635,0.573186,-0.225302,-0.446362,0.200000,0.050000
13,0,8.532691,0.133046,0.127823,0.025195,0.200000,0.050000
14,0,6.807948,-0.390290,-0.087838,0.492224,0.200000,0.050000
15,0,13.621544,1.043987,0.188890,0.462948,0.200000,0.050000
16,0,6.420901,0.046526,-0.495187,-0.069212,0.200000,0.050000
17,0,6.774219,0.907350,-0.104021,0.489060,0.200000,0.050000
18,0,9.494304,-0.446459,-0.082518,-0.176365,0.200000,0.050000
19,0,7.350901,-0.856082,0.372229,-0.333835,0.200000,0.050000
20,1,7.301529,7.707105,0.029172,-0.125102,0.200000,0.050000
21,1,8.367642,-4.203586,0.030842,-0.168720,0.200000,0.050000
22,1,7.112813,2.328193,0.024457,-0.157146,0.200000,0.050000
23,1,9.090068,-3.083218,0.034755,-0.130569,0.200000,0.050000
24,1,5.310220,5.480968,0.001606,-0.180039,0.200000,0.050000
25,1,8.411504,-2.036243,-0.027311,-0.141269,0.200000,0.050000
26,1,6.821316,6.560049,-0.013081,-0.165212,0.200000,0.050000
27,1,5.173159,1.244225,0.122788,0.419898,0.200000,0.050000
28,1,4.806596,3.019664,-0.059086,-0.062119,0.200000,0.050000
29,1,4.787788,0.713032,-0.493631,0.079554,0.200000,0.050000
30,1,7.598685,3.439354,-0.088909,-0.150712,0.200000,0.050000
31,1,7.270687,-4.352222,-0.102464,-0.145441,0.200000,0.050000
32,1,5.648043,2.236823,0.066268,-0.056744,0.200000,0.050000
33,1,7.975175,5.360953,-0.042899,-0.063138,0.200000,0.050000
34,1,4.925915,6.633374,-0.024103,-0.058529,0.200000,0.050000
35,1,9.203091,3.768156,0.375212,-0.330479,0.200000,0.050000
36,1,6.196770,4.202513,0.005605,-0.116140,0.200000,0.050000
37,1,8.535480,3.854391,-0.344803,-0.164775,0.200000,0.050000
38,1,9.146567,4.638124,0.105144,0.125285,0.200000,0.050000
39,1,6.797657,8.865177,-0.025065,-0.066463,0.200000,0.050000
0,0,10.155859,0.376964,-0.099229,0.267991,0.200000,0.100000
1,0,12.510340,0.596636,-0.366922,0.076246,0.200000,0.100000
2,0,7.345572,-0.096779,-0.000219,0.335820,0.200000,0.100000
3,0,6.786124,-0.884425,-0.249259,-0.395312,0.200000,0.100000
4,0,8.836964,0.743233,-0.014103,0.418759,0.200000,0.100000
5,0,5.243503,0.519143,-0.020418,-0.033756,0.200000,0.100000
6,0,13.690821,-1.084003,-0.112641,-0.319846,0.200000,0.100000
7,0,10.853373,-0.181319,-0.171599,-0.132544,0.200000,0.100000
8,0,13.272701,-0.548373,-0.426075,-0.358155,0.200000,0.100000
9,0,8.042400,-0.256769,0.231246,-0.487581,0.200000,0.100000
10,0,6.889099,0.247274,0.170424,0.193352,0.200000,0.100000
11,0,14.756055,-0.690392,-0.113771,0.010216,0.200000,0.100000
12,0,13.393128,0.574483,-0.110138,0.025943,0.200000,0.100000
13,0,8.538951,0.131307,0.125198,-0.034770,0.200000,0.100000
14,0,6.796051,-0.389525,-0.237948,0.015289,0.200000,0.100000
15,0,13.623555,1.064456,0.040204,0.409376,0.200000,0.100000
16,0,6.415691,0.027484,-0.104190,-0.380855,0.200000,0.100000
17,0,6.761050,0.908107,-0.263381,0.015135,0.200000,0.100000
18,0,9.493784,-0.449137,-0.010403,-0.053553,0.200000,0.100000
19,0,7.355912,-0.871329,0.100206,-0.304953,0.200000,0.100000
20,1,7.302821,7.698099,0.025839,-0.180123,0.200000,0.100000
21,1,8.366599,-4.219189,-0.020866,-0.312051,0.200000,0.100000
22,1,7.125276,2.328159,0.249266,-0.000682,0.200000,0.100000
23,1,9.092790,-3.098961,0.054442,-0.314847,0.200000,0.100000
24,1,5.304995,5.475315,-0.104510,-0.113056,0.200000,0.100000
25,1,8.409731,-2.061952,-0.035459,-0.514170,0.200000,0.100000
26,1,6.819770,6.550812,-0.030928,-0.184756,0.200000,0.100000
27,1,5.165672,1.244260,-0.149753,0.000707,0.200000,0.100000
28,1,4.797233,3.011957,-0.187262,-0.154132,0.200000,0.100000
29,1,4.766890,0.710246,-0.417978,-0.055716,0.200000,0.100000
30,1,7.593437,3.426626,-0.104949,-0.254565,0.200000,0.100000
31,1,7.266387,-4.366872,-0.085987,-0.292991,0.200000,0.100000
32,1,5.645823,2.245176,-0.044418,0.167073,0.200000,0.100000
33,1,7.977471,5.351007,0.045913,-0.198928,0.200000,0.100000
34,1,4.924532,6.625461,-0.027654,-0.158247,0.200000,0.100000
35,1,9.220742,3.749696,0.353022,-0.369209,0.200000,0.100000
36,1,6.195112,4.203792,-0.033158,0.025584,0.200000,0.100000
37,1,8.542450,3.852388,0.139394,-0.040061,0.200000,0.100000
38,1,9.150763,4.638543,0.083916,0.008367,0.200000,0.100000
39,1,6.796599,8.855686,-0.021164,-0.189810,0.200000,0.100000
0,0,10.145678,0.382711,-0.203622,0.114941,0.200000,0.150000
1,0,12.493584,0.594968,-0.335107,-0.033361,0.200000,0.150000
2,0,7.361887,-0.098921,0.326303,-0.042840,0.200000,0.150000
3,0,6.768218,-0.908277,-0.358123,-0.477045,0.200000,0.150000
4,0,8.833881,0.754827,-0.061655,0.231871,0.200000,0.150000
5,0,5.230189,0.510263,-0.266294,-0.177593,0.200000,0.150000
6,0,13.679279,-1.098014,-0.230827,-0.280210,0.200000,0.150000
7,0,10.848696,-0.188688,-0.093531,-0.147380,0.200000,0.150000
8,0,13.249605,-0.563457,-0.461904,-0.301678,0.200000,0.150000
9,0,8.047814,-0.278283,0.108273,-0.430271,0.200000,0.150000
10,0,6.875045,0.267682,-0.281085,0.408155,0.200000,0.150000
11,0,14.745371,-0.690570,-0.213684,-0.003560,0.200000,0.150000
12,0,13.382570,0.575182,-0.211165,0.013980,0.200000,0.150000
13,0,8.528643,0.135833,-0.206154,0.090524,0.200000,0.150000
14,0,6.801731,-0.406538,0.113598,-0.340261,0.200000,0.150000
15,0,13.618874,1.082507,-0.093604,0.361020,0.200000,0.150000
16,0,6.392224,0.025518,-0.469353,-0.039305,0.200000,0.150000
17,0,6.752356,0.913060,-0.173879,0.099058,0.200000,0.150000
18,0,9.485458,-0.457291,-0.166528,-0.163075,0.200000,0.150000
19,0,7.349912,-0.884105,-0.119987,-0.255509,0.200000,0.150000
20,1,7.305640,7.683707,0.056388,-0.287839,0.200000,0.150000
21,1,8.365353,-4.243789,-0.024908,-0.492012,0.200000,0.150000
22,1,7.132112,2.314107,0.136717,-0.281036,0.200000,0.150000
23,1,9.099274,-3.121817,0.129683,-0.457121,0.200000,0.150000
24,1,5.298514,5.460715,-0.129620,-0.292000,0.200000,0.150000
25,1,8.403272,-2.085676,-0.129196,-0.474473,0.200000,0.150000
26,1,6.819252,6.536614,-0.010351,-0.283953,0.200000,0.150000
27,1,5.153858,1.243034,-0.236278,-0.024532,0.200000,0.150000
28,1,4.787338,3.002506,-0.197898,-0.189027,0.200000,0.150000
29,1,4.749407,0.701376,-0.349645,-0.177407,0.200000,0.150000
30,1,7.585551,3.429160,-0.157731,0.050683,0.200000,0.150000
31,1,7.258756,-4.387297,-0.152637,-0.408501,0.200000,0.150000
32,1,5.643701,2.241475,-0.042431,-0.074030,0.200000,0.150000
33,1,7.972958,5.342634,-0.090253,-0.167459,0.200000,0.150000
34,1,4.921339,6.619105,-0.063864,-0.127127,0.200000,0.150000
35,1,9.235964,3.733642,0.304448,-0.321075,0.200000,0.150000
36,1,6.196943,4.196721,0.036618,-0.141418,0.200000,0.150000
37,1,8.550405,3.844127,0.159106,-0.165215,0.200000,0.150000
38,1,9.159240,4.639631,0.169537,0.021767,0.200000,0.150000
39,1,6.794145,8.843257,-0.049066,-0.248581,0.200000,0.150000
0,0,10.136744,0.387455,-0.178672,0.094869,0.200000,0.200000
1,0,12.475917,0.593675,-0.353350,-0.025875,0.200000,0.200000
2,0,7.354516,-0.109061,-0.147423,-0.202791,0.200000,0.200000
3,0,6.745622,-0.929244,-0.451925,-0.419337,0.200000,0.200000
4,0,8.826663,0.765123,-0.144368,0.205916,0.200000,0.200000
5,0,5.224027,0.497131,-0.123241,-0.262636,0.200000,0.200000
6,0,13.662433,-1.110233,-0.336932,-0.244390,0.200000,0.200000
7,0,10.837918,-0.196230,-0.215562,-0.150829,0.200000,0.200000
8,0,13.226759,-0.579311,-0.456922,-0.317081,0.200000,0.200000
9,0,8.041751,-0.302748,-0.121259,-0.489307,0.200000,0.200000
10,0,6.862900,0.263163,-0.242889,-0.090384,0.200000,0.200000
11,0,14.730173,-0.691444,-0.303955,-0.017477,0.200000,0.200000
12,0,13.367873,0.575033,-0.293926,-0.002980,0.200000,0.200000
13,0,8.528858,0.143968,0.004292,0.162689,0.200000,0.200000
14,0,6.787138,-0.408922,-0.291851,-0.047668,0.200000,0.200000
15,0,13.608470,1.098301,-0.208089,0.315872,0.200000,0.200000
16,0,6.378589,0.016695,-0.272685,-0.176461,0.200000,0.200000
17,0,6.737936,0.942348,-0.288401,0.585767,0.200000,0.200000
18,0,9.483432,-0.463528,-0.040518,-0.124747,0.200000,0.200000
19,0,7.357711,-0.917728,0.155967,-0.672461,0.200000,0.200000
20,1,7.309002,7.668557,0.067231,-0.302997,0.200000,0.200000
21,1,8.362732,-4.272254,-0.052420,-0.569301,0.200000,0.200000
22,1,7.126543,2.301186,-0.111387,-0.258419,0.200000,0.200000
23,1,9.103212,-3.148604,0.078766,-0.535746,0.200000,0.200000
24,1,5.292048,5.445144,-0.129318,-0.311425,0.200000,0.200000
25,1,8.396511,-2.113189,-0.135210,-0.550266,0.200000,0.200000
26,1,6.814269,6.522584,-0.099663,-0.280601,0.200000,0.200000
27,1,5.144436,1.234227,-0.188441,-0.176125,0.200000,0.200000
28,1,4.778388,2.991787,-0.178999,-0.214378,0.200000,0.200000
29,1,4.708974,0.695036,-0.808662,-0.126798,0.200000,0.200000
30,1,7.583921,3.417770,-0.032600,-0.227803,0.200000,0.200000
31,1,7.251399,-4.412411,-0.147123,-0.502276,0.200000,0.200000
32,1,5.633532,2.239895,-0.203375,-0.031591,0.200000,0.200000
33,1,7.974473,5.329389,0.030290,-0.264889,0.200000,0.200000
34,1,4.918992,6.607517,-0.046941,-0.231753,0.200000,0.200000
35,1,9.247949,3.716425,0.239690,-0.344347,0.200000,0.200000
36,1,6.191949,4.186756,-0.099891,-0.199315,0.200000,0.200000
37,1,8.558793,3.833864,0.167762,-0.205277,0.200000,0.200000
38,1,9.165624,4.634255,0.127678,-0.107518,0.200000,0.200000
39,1,6.792144,8.825644,-0.040021,-0.352257,0.200000,0.200000
0,0,10.127570,0.388616,-0.183482,0.023227,0.200000,0.250000
1,0,12.453133,0.589382,-0.455675,-0.085850,0.200000,0.250000
2,0,7.346612,-0.119886,-0.158071,-0.216504,0.200000,0.250000
3,0,6.718805,-0.947601,-0.536328,-0.367150,0.200000,0.250000
4,0,8.816542,0.785435,-0.202412,0.406238,0.200000,0.250000
5,0,5.196378,0.482746,-0.552976,-0.287704,0.200000,0.250000
6,0,13.650415,-1.126758,-0.240362,-0.330501,0.200000,0.250000
7,0,10.827520,-0.201180,-0.207970,-0.099001,0.200000,0.250000
8,0,13.191729,-0.589859,-0.700607,-0.210972,0.200000,0.250000
9,0,8.029757,-0.324645,-0.239880,-0.437942,0.200000,0.250000
10,0,6.864816,0.279315,0.038322,0.323041,0.200000,0.250000
11,0,14.710886,-0.693122,-0.385750,-0.033558,0.200000,0.250000
12,0,13.354002,0.573586,-0.277437,-0.028947,0.200000,0.250000
13,0,8.514806,0.133970,-0.281032,-0.199951,0.200000,0.250000
14,0,6.783348,-0.433851,-0.075793,-0.498577,0.200000,0.250000
15,0,13.593397,1.112000,-0.301451,0.273988,0.200000,0.250000
16,0,6.340604,0.013530,-0.759713,-0.063308,0.200000,0.250000
17,0,6.707231,0.952668,-0.614094,0.206393,0.200000,0.250000
18,0,9.467011,-0.470033,-0.328406,-0.130097,0.200000,0.250000
19,0,7.355305,-0.939916,-0.048121,-0.443754,0.200000,0.250000
20,1,7.312913,7.647670,0.078226,-0.417734,0.200000,0.250000
21,1,8.358869,-4.304196,-0.077268,-0.638841,0.200000,0.250000
22,1,7.137529,2.289838,0.219726,-0.226948,0.200000,0.250000
23,1,9.105630,-3.179757,0.048361,-0.623054,0.200000,0.250000
24,1,5.282086,5.430246,-0.199229,-0.297951,0.200000,0.250000
25,1,8.391575,-2.150934,-0.098719,-0.754910,0.200000,0.250000
26,1,6.812847,6.504734,-0.028437,-0.356990,0.200000,0.250000
27,1,5.131174,1.226945,-0.265234,-0.145645,0.200000,0.250000
28,1,4.762719,2.980439,-0.313380,-0.226973,0.200000,0.250000
29,1,4.673946,0.682974,-0.700566,-0.241234,0.200000,0.250000
